"Section","Machine","Brand/Origin","Supplier Name","Company Name","Mail ID","Req Qty,Sets","Rate, USD","Total Amount,USD"
"Plastic","Compressor","Belgium","Imran Kobir","Atlas Copco","loyalty@atlascopco.com","2","25000","50000"
"Plastic","Central Feeding","China","Joice","SINCARE","joyce@sincereindustry.com","1","6370","6370"
"Plastic","","China","Nicole","LGY","luoander26@hym-cn.com","","",""
"Plastic","","China","Lilian Gan","SHINI","liyan.yan@shini.cn.com","","",""
"Plastic","","China","Sharon Wong","TOPSTAR","wxj012660@topstarltd.com","","",""
"Plastic","","India","Mostak","PROSAD Group","bangladesh@prasadgroup.com","","",""
"Plastic","Mold Rack","Bangladesh","Minhaz Uddin","MacTec","","","",""
"Plastic","","Bangladesh","Raisul Aslam","Akij Bashir","raisul.asml@akijbashir.com","","",""
"Plastic","","Bangladesh","","RFL RMIL","","","",""
"Work Shop","Wire Cut DK 7750 ZAES with Spare Parts","China","Winnie","LGY","luoander7@hym-cn.com","1","32044","32044"
"Work Shop","","India","PRAGNESH DUDHAIYA","bhavyamachinetools","sales1@bhavyamachinetools.com","","",""
"Work Shop","","China","Sherry Wang","Top Denver","topdenver@gmail.com","","",""
"Work Shop","","China","Rui Yang","TOPSCNC","alidongqing@aliyun.com","","",""
"Work Shop","EDM Machine","China","Winnie","LGY","luoander7@hym-cn.com","1","25000","25000"
"Work Shop","","India","PRAGNESH DUDHAIYA","bhavyamachinetools","sales1@bhavyamachinetools.com","","",""
"Work Shop","","China","Maggie Chung","Aristech","maggie@aristech.com.tw","","",""
"Work Shop","Lathe Machine 20 Feet","India","PRAGNESH DUDHAIYA","bhavyamachinetools","sales1@bhavyamachinetools.com","1","49285","0"
"Work Shop","","China","laurent","Tony","laurent-lu@gzspark.com","","",""
"Work Shop","Turrent Milling Machine","Taiwan","Sherry Wang","Denver","topdenver@gmail.com","1","7750","7750"
"Work Shop","","China","PRAGNESH DUDHAIYA","bhavyamachinetools","sales1@bhavyamachinetools.com","","",""
"Work Shop","","China","Winnie","LGY","luoander7@hym-cn.com","","",""
"Work Shop","Surface Grinding Machine","China","laurent","Tony","laurent-lu@gzspark.com","1","57820","57820"
"Work Shop","","India","PRAGNESH DUDHAIYA","bhavyamachinetools","sales1@bhavyamachinetools.com","","",""
"Work Shop","","China","Winnie","LGY","luoander7@hym-cn.com","","",""
"Switch","Conveyor 60 Feet","China","Swees","SWEES","swees@sgconveyor.com","10","6000","60000"
"Switch","","China","laurent","Tony","laurent-lu@gzspark.com","","",""
"Switch","","China","Nicole","LGY","luoander26@hym-cn.com","","",""
"Switch","","China","Athen","","","","",""
"Switch","","China","Robin","","","","",""
"Switch","Pillow Packing Machine","China","laurent","Tony","laurent-lu@gzspark.com","6","4000","24000"
"Switch","","China","Nicole","LGY","luoander26@hym-cn.com","","",""
"Switch","","China","Athena","","","","",""
"Switch","","China","Robin","","","","",""
"Switch","Fiber Laser printing machine","China","MATTHEW","Yun Nan Maidao","matthew02@sina.com","6","8730","52380"
"Switch","","China","laurent","Tony","laurent-lu@gzspark.com","","",""
"Switch","","China","Nicole","LGY","luoander26@hym-cn.com","","",""
"Switch","","China","Kimmy","Pentek","kimmy@pntek.com.cn","","",""
"LED","Conveyor 50 Feet","China","Swees","SWEES","swees@sgconveyor.com","6","6000","36000"
"LED","","China","laurent","Tony","laurent-lu@gzspark.com","","",""
"LED","","China","Nicole","LGY","luoander26@hym-cn.com","","",""
"LED","","China","Athena","","","","",""
"LED","","China","Robin","","","","",""
"LED","UV Laser printing machine","China","MATTHEW","Yun Nan Maidao","matthew02@sina.com","6","8730","52380"
"LED","","China","laurent","Tony","laurent-lu@gzspark.com","","",""
"LED","","China","Nicole","LGY","luoander26@hym-cn.com","","",""
"LED","","China","Kimmy","Pentek","kimmy@pntek.com.cn","","",""
"LED","Ink Printer Machine","Bangladesh","Ismail","Druker","","3","",""
"LED","","China","","Rottwile","","","",""
"LED","Aging Line","China","Athena","","","3","6000","18000"
"LED","","China","laurent","Tony","laurent-lu@gzspark.com","","",""
"LED","","China","Nicole","LGY","luoander26@hym-cn.com","","",""
"LED","Extruding machine (EXT-75)","China","Eric Zhao","Blesson","eric@blesson.cn","1","23500","23500"
"LED","","China","Nicole","LGY","luoander26@hym-cn.com","","",""
"LED","Glue & Diiffeuser Assembly Machine","China","Athena","","","3","3000","9000"
"LAB","Plug in test machine","China","Suki Zeng,       Lily Yang,      Jigar Patel, Nicole,","Haida International, lily@qiantongyiqi.com, AANKAN CALIBRATION, LGY, EVERFINE","suki@qc-test.cn, lily@qiantongyiqi.com, aankan.act@gmail.com, hym26@hym.com.sg","1","",""
"LAB","Regulator life time test machine","China","","","","1","",""
"LAB","Temperature rise machine","China","","","","1","",""
"LAB","Plug cord load test machine","China","","","","1","",""
"LAB","heat Chamber","China","","","","1","",""
"LAB","Glow wire testing machine","China","","","","1","",""
"LAB","High viltage testing machine","China","","","","1","",""
"LAB","BATTERY TESTING MACHINE-BFGS- 8512","China","","","","1","",""
"LAB","Digital power meter","China","","","","1","",""
"LAB","Surge test machine","China","","","","1","",""
"LAB","Torque test machine","China","","","","1","",""
"LAB","Electric test machine","China","","","","1","",""
"LAB","Voltage stabilizer","China","","","","1","",""
"LAB","LCR meter","China","","","","1","",""
"LAB","Voltag withstanding machine","China","","","","1","",""
"LAB","TEMPERATURE TESTING M/C WKS-WS6R","China","","","","1","",""
"LAB","GONIO-SPECTRORADIOMETER (GO-SPEX500)","China","","","","1","",""
"LAB","Humidity test machine","China","","","","1","",""
"LAB","Regulator Cycle Load tester","China","","","","1","",""
"LAB","Salt Spray Tester","China","","","","1","",""
"LAB","Power Coard Retention Tester ","China","","","","1","",""
"LAB","Melt Flow Machine","China","","","","1","",""
"LAB","Density Meter","China","","","","1","",""
"LAB","BATTERY Charging Discharging Machine","China","","","","1","",""
"LAB","Leakege Testing Machine ","China","","","","1","",""
"LAB","Insulation Testing Machine","China","","","","1","",""
"LAB","Pendulum Impact Machine","China","","","","1","",""
"LAB","Switch & Plug in Testing","China","","","","1","",""
"Total =","","","","","","","",""
"Plastic","3 Axis Robot","China","Hunk","SWITEK","ales03@switek.com.cn","25","5500","137500"
"Plastic","","China","Ms Vesper","ALFA Robot","overseas@alfarobot.com","","",""
"Plastic","","China","Sharon Wong","TOPSTAR","wxj012660@topstarltd.com","","",""
"Plastic","","China","Kimmy","Pentek","kimmy@pntek.com.cn","","",""
"Plastic","","China","Sammer","Samface","summer@samfacc.com","","",""
"Work Shop","Blade Sharpening Machine","","","","","1","1360","1360"
"Work Shop","Blade Sharpening Machine","","","","","1","1360","1360"
